Date,Open,High,Low,Close,Volume,Adj Close
2015-01-23,34.30,34.30,33.36,33.51,4522600,33.51
2015-01-22,34.28,34.42,33.65,34.35,5477200,34.35
2015-01-21,32.80,34.25,32.65,34.25,8262200,34.25
2015-01-20,32.75,33.40,32.20,32.78,6738300,32.78
2015-01-19,32.13,34.18,30.73,32.35,6939600,32.35
2015-01-16,33.37,33.78,33.19,33.45,5731500,33.45
2015-01-15,32.56,33.26,32.40,33.10,5454800,33.10
2015-01-14,33.38,33.85,32.07,32.42,7604800,32.42
2015-01-13,34.13,34.84,33.18,33.36,5133700,33.36
2015-01-12,36.07,36.18,34.23,34.25,5585000,34.25
2015-01-09,36.80,38.09,36.55,36.55,4242700,36.55
2015-01-08,37.00,38.90,35.81,37.68,6595500,37.68
2015-01-07,37.91,38.83,36.87,37.10,5849400,37.10
2015-01-06,38.50,39.20,37.77,38.42,6155300,38.42
2015-01-05,36.38,39.46,36.38,39.24,10274100,39.24
2015-01-02,36.95,36.95,36.95,36.95,000,36.95
2015-01-01,36.95,36.95,36.95,36.95,000,36.95
2014-12-31,36.92,38.10,36.33,36.95,6346400,36.95
2014-12-30,36.91,38.62,36.30,37.62,9583600,37.62
2014-12-29,35.65,37.60,34.60,37.24,9764400,37.24
2014-12-26,35.30,35.96,35.10,35.60,6222700,35.60
2014-12-25,35.65,36.40,34.50,35.80,6711100,35.80
2014-12-24,34.80,37.51,34.70,35.66,13599700,35.66
2014-12-23,34.00,36.80,33.28,35.53,15506500,35.53
2014-12-22,31.43,34.08,30.60,34.08,12949500,34.08
2014-12-19,31.80,32.83,30.96,31.81,6299500,31.81
2014-12-18,32.20,33.50,32.00,32.08,5788700,32.08
2014-12-17,32.54,33.12,31.71,32.00,5513300,32.00
2014-12-16,32.01,33.43,31.50,32.53,6497300,32.53
2014-12-15,31.89,33.55,31.00,32.55,9060400,32.55
2014-12-12,30.48,32.38,30.40,31.99,9324100,31.99
2014-12-11,30.90,31.48,30.23,30.50,6953900,30.50
2014-12-10,29.50,31.44,29.39,30.87,8930900,30.87
2014-12-09,31.76,33.58,29.60,29.66,16367700,29.66
2014-12-08,31.01,32.86,30.56,32.24,12826700,32.24
2014-12-05,33.57,33.57,30.50,32.25,13914400,32.25
2014-12-04,32.78,34.50,32.35,33.70,14690100,33.70
2014-12-03,31.04,34.53,30.80,33.00,19659700,33.00
2014-12-02,30.39,32.20,29.61,31.46,23719500,31.46
2014-12-01,26.77,29.36,26.77,29.36,13426400,29.36
2014-11-28,27.32,27.37,26.32,26.69,6848100,26.69
2014-11-27,27.27,27.86,27.00,27.39,10441100,27.39
2014-11-26,26.03,27.60,25.72,27.49,14502000,27.49
2014-11-25,25.32,26.49,25.32,26.00,6173300,26.00
2014-11-24,25.50,25.98,25.05,25.57,6389800,25.57
2014-11-21,25.11,25.50,24.93,25.44,4749900,25.44
2014-11-20,25.34,25.49,24.97,25.32,3695100,25.32
2014-11-19,25.80,25.90,25.30,25.55,3517400,25.55
2014-11-18,25.47,26.20,25.17,25.95,6030600,25.95
2014-11-17,26.60,26.96,25.60,25.71,7013400,25.71
2014-11-14,25.00,26.74,24.69,26.28,13351100,26.28
2014-11-13,25.50,25.65,24.91,25.15,7260600,25.15
2014-11-12,25.68,26.35,24.97,25.84,10038100,25.84
2014-11-11,25.90,27.26,25.11,25.64,19338100,25.64
2014-11-10,23.12,25.30,23.12,25.30,12406300,25.30
2014-11-07,23.92,24.06,22.83,23.00,4374200,23.00
2014-11-06,23.55,24.09,23.55,23.90,2086500,23.90
2014-11-05,23.47,23.85,23.47,23.60,2181300,23.60
2014-11-04,24.11,24.26,23.49,23.57,3666700,23.57
2014-11-03,24.10,24.55,23.90,24.18,4404600,24.18
2014-10-31,23.80,24.58,22.90,24.18,10255500,24.18
2014-10-30,24.00,24.24,23.63,23.78,3530900,23.78
2014-10-29,23.93,24.20,23.76,23.88,3862400,23.88
2014-10-28,23.65,23.87,23.47,23.80,3311300,23.80
2014-10-27,22.97,23.66,22.60,23.65,2311400,23.65
2014-10-24,23.35,23.60,23.00,23.10,2319100,23.10
2014-10-23,24.30,24.38,23.15,23.42,4270700,23.42
2014-10-22,25.79,25.79,24.02,24.41,3760400,24.41
2014-10-21,25.80,26.28,25.70,25.80,2609400,25.80
2014-10-20,26.10,26.20,25.74,25.85,2482400,25.85
2014-10-17,25.20,26.09,24.95,26.02,3885100,26.02
2014-10-16,25.20,25.74,25.15,25.31,2980300,25.31
2014-10-15,25.09,25.48,24.87,25.46,3212700,25.46
2014-10-14,25.27,25.54,24.88,25.08,2143000,25.08
2014-10-13,25.86,25.86,24.96,25.28,3120800,25.28
2014-10-10,26.26,26.29,26.02,26.03,2746600,26.03
2014-10-09,25.65,26.45,25.54,26.37,3843300,26.37
2014-10-08,25.93,25.97,25.32,25.68,3305900,25.68
2014-10-07,25.93,25.93,25.93,25.93,000,25.93
2014-10-06,25.93,25.93,25.93,25.93,000,25.93
